Expiry Time,Risk-Free Rate,Volatility,Strike Price,Original Method Price,Optimized Method Price,Basis,Call Flag,Original Computation Time,Optimized Computation Time
1,0.02,0.4,80,5.82967,5.4742,2,0,20.9888,31.6313
1,0.02,0.4,50,0.436179,0.34576,0,0,10.057,11.1133
1,0.02,0.4,50,0.436179,0.386001,1,0,10.057,14.7559
1,0.02,0.4,50,0.436179,0.197816,2,0,10.057,11.899
1,0.02,0.5,102,15.7414,20.2915,0,1,27.6478,34.7583
1,0.02,0.5,102,15.7414,20.0631,1,1,27.6478,55.9071
1,0.02,0.5,102,15.7414,19.4056,2,1,27.6478,52.3298
1,0.02,0.5,105,14.6933,18.3274,1,1,26.4657,58.1214
1,0.02,0.5,105,14.6933,18.7351,0,1,26.4657,35.8898
1,0.02,0.5,105,14.6933,18.0974,2,1,26.4657,54.4516
1,0.02,0.5,110,13.3518,16.4355,0,1,24.641,38.0115
1,0.02,0.5,110,13.3518,16.9135,1,1,24.641,60.8763
1,0.02,0.5,110,13.3518,16.6258,2,1,24.641,57.7691
1,0.02,0.5,120,9.59128,13.6333,0,1,21.4408,40.4977
1,0.02,0.5,120,9.59128,13.5374,1,1,21.4408,65.7072
1,0.02,0.5,120,9.59128,14.1844,2,1,21.4408,62.031
1,0.02,0.5,150,6.46031,7.56418,0,1,16.3505,44.659
1,0.02,0.5,150,6.46031,7.90093,1,1,16.3505,72.3992
1,0.02,0.5,150,6.46031,6.88454,2,1,16.3505,69.8394
1,0.02,0.5,98,17.8835,17.2056,0,0,30.9481,33.024
1,0.02,0.5,98,17.8835,17.5704,1,0,30.9481,52.8166
1,0.02,0.5,98,17.8835,17.2343,2,0,30.9481,49.1906
1,0.02,0.5,95,16.5291,15.6841,0,0,29.8,31.6294
1,0.02,0.5,95,16.5291,16.0435,1,0,29.8,50.446
1,0.02,0.5,95,16.5291,15.4325,2,0,29.8,46.6786
1,0.02,0.5,90,13.4747,12.8842,0,0,27.3703,29.0249
1,0.02,0.5,90,13.4747,13.1975,1,0,27.3703,46.8804
1,0.02,0.5,90,13.4747,12.8818,2,0,27.3703,42.4487
1,0.02,0.5,80,9.1752,8.67667,0,0,23.2253,25.0153
1,0.02,0.5,80,9.1752,8.55449,1,0,23.2253,39.1677
1,0.02,0.5,80,9.1752,8.46581,2,0,23.2253,35.1096
1,0.02,0.5,50,1.26749,1.21607,0,0,12.7731,13.9368
1,0.02,0.5,50,1.26749,1.08602,1,0,12.7731,20.7518
1,0.02,0.5,50,1.26749,0.861714,2,0,12.7731,17.0835
1,0.03,0.1,102,4.08309,4.49441,0,1,27.9807,34.4081
1,0.03,0.1,102,4.08309,4.40246,1,1,27.9807,55.3747
1,0.03,0.1,102,4.08309,4.46765,2,1,27.9807,51.6094
1,0.03,0.1,105,2.79778,3.11316,0,1,22.7631,39.1478
1,0.03,0.1,105,2.79778,3.12148,1,1,22.7631,63.238
1,0.03,0.1,105,2.79778,3.18544,2,1,22.7631,59.735
1,0.03,0.1,110,1.30845,1.53103,0,1,16.6926,43.7522
1,0.03,0.1,110,1.30845,1.61984,1,1,16.6926,71.0417
1,0.03,0.1,110,1.30845,1.60837,2,1,16.6926,67.9618
1,0.03,0.1,120,0.218078,0.287465,0,1,9.05959,46.6806
1,0.03,0.1,120,0.218078,0.288684,1,1,9.05959,76.6146
